"","y","x","color","type"
"1",NA,0.219118107575923,1,1
"2",NA,0.682780140545219,1,1
"3",NA,0.490535245975479,1,2
"4",NA,0.705027701333165,1,1
"5",NA,0.691738760564476,1,1
"6",NA,0.5974571921397,1,1
"7",NA,0.287906910059974,1,2
"8",NA,0.588066895259544,1,1
"9",NA,0.337929604807869,1,1
"10",NA,0.931931706611067,1,1
"11",NA,0.791186679620296,1,1
"12",NA,0.113425567513332,1,2
"13",NA,0.294533386826515,1,1
"14",NA,0.128138297935948,1,1
"15",NA,0.67602428374812,1,1
"16",NA,0.592745033558458,1,2
"17",NA,0.266905256314203,1,2
"18",NA,0.0775633079465479,1,1
"19",NA,0.21968665975146,1,1
"20",NA,0.775030548218638,1,2
"21",NA,0.887213556561619,1,2
"22",NA,0.400911932112649,1,2
"23",NA,0.0317740452010185,1,1
"24",NA,0.256790350191295,1,1
"25",NA,0.551984936231747,1,1
"26",NA,0.0988095621578395,1,1
"27",NA,0.714903267333284,1,2
"28",NA,0.194950502132997,1,1
"29",NA,0.0930009768344462,1,1
"30",NA,0.451758550480008,1,2
"31",NA,0.145722198067233,1,2
"32",NA,0.723894742550328,1,2
"33",NA,0.474766907980666,1,1
"34",NA,0.703347972827032,1,2
"35",NA,0.54147119121626,1,1
"36",NA,0.260809790808707,1,1
"37",NA,0.50113516417332,1,1
"38",NA,0.886395713314414,1,2
"39",NA,0.715057848021388,1,2
"40",NA,0.622817888390273,1,1
"41",NA,0.825765905668959,1,2
"42",NA,0.271424996899441,1,1
"43",NA,0.137733506737277,1,1
"44",NA,0.124832567758858,1,2
"45",NA,0.354023990454152,1,1
"46",NA,0.0609333901666105,1,1
"47",NA,0.972377384547144,1,2
"48",NA,0.246366010745987,1,1
"49",NA,0.118561384268105,1,2
"50",NA,0.860968683380634,1,1
"51",NA,0.485924106556922,1,2
"52",NA,0.0177729493007064,1,2
"53",NA,0.640467549674213,1,2
"54",NA,0.501601658994332,1,2
"55",NA,0.391553760040551,1,1
"56",NA,0.321482993429527,1,2
"57",NA,0.787510711001232,1,2
"58",NA,0.283370023127645,1,2
"59",NA,0.420952166896313,1,2
"60",NA,0.251475688768551,1,1
"61",NA,0.410865447716787,1,1
"62",NA,0.924244578229263,1,1
"63",NA,0.31062881089747,1,1
"64",NA,0.584365404676646,1,1
"65",NA,0.264078705105931,1,2
"66",NA,0.231320530874655,1,1
"67",NA,0.1053262562491,1,2
"68",NA,0.899165948387235,1,1
"69",NA,0.333802942885086,1,1
"70",NA,0.725953760556877,1,1
"71",NA,0.7738192146644,1,1
"72",NA,0.0342427415307611,1,2
"73",NA,0.0620987021829933,1,2
"74",NA,0.557726986706257,1,1
"75",NA,0.914285661885515,1,1
"76",NA,0.96675246511586,1,2
"77",NA,0.655601922888309,1,2
"78",NA,0.0437476728111506,1,1
"79",NA,0.921623066999018,1,2
"80",NA,0.291668407618999,1,2
"81",NA,0.928306829649955,1,1
"82",NA,0.454601999837905,1,1
"83",NA,0.0763140576891601,1,1
"84",NA,0.595740559976548,1,1
"85",NA,0.569798682583496,1,2
"86",NA,0.2023113835603,1,1
"87",NA,0.166447376366705,1,1
"88",NA,0.0913108522072434,1,1
"89",NA,0.438489855499938,1,1
"90",NA,0.111438839463517,1,2
"91",NA,0.484308073297143,1,2
"92",NA,0.984077893663198,1,2
"93",NA,0.0614397849421948,1,2
"94",NA,0.887668612180278,1,1
"95",NA,0.625850549899042,1,2
"96",NA,0.93922219495289,1,1
"97",NA,0.267044593580067,1,1
"98",NA,0.439519121078774,1,2
"99",NA,0.460807579569519,1,1
"100",NA,0.0453603272326291,1,2
"101",NA,0.282578384270892,1,2
"102",NA,0.706196528160945,1,1
"103",NA,0.446626755176112,1,1
"104",NA,0.181657675420865,1,2
"105",NA,0.798652193974704,1,2
"106",NA,0.536114908056334,1,1
"107",NA,0.399240926140919,1,1
"108",NA,0.982050290331244,1,1
"109",NA,0.204438411863521,1,2
"110",NA,0.986656427150592,1,2
"111",NA,0.520161538850516,1,1
"112",NA,0.246332165319473,1,2
"113",NA,0.290773721411824,1,2
"114",NA,0.13625208218582,1,1
"115",NA,0.243229924701154,1,1
"116",NA,0.199497336754575,1,2
"117",NA,0.24622066016309,1,2
"118",NA,0.0698926702607423,1,2
"119",NA,0.175405905582011,1,1
"120",NA,0.383196576265618,1,1
"121",NA,0.962697826093063,1,1
"122",NA,0.411202896386385,1,2
"123",NA,0.062407621415332,1,2
"124",NA,0.721084380755201,1,1
"125",NA,0.726627506315708,1,2
"126",NA,0.142156802117825,1,2
"127",NA,0.0158236869610846,1,1
"128",NA,0.905699393944815,1,1
"129",NA,0.0356777552515268,1,2
"130",NA,0.710507165873423,1,1
"131",NA,0.692921536741778,1,1
"132",NA,0.718718037707731,1,1
