"","name","takeTime","sysUser","sysName","sysTime","user","course_name","lesson_name","question_number","correct","attempt","datetime","skipped"
"1","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",7,TRUE,1,2016-10-07 08:41:39,FALSE
"2","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",14,TRUE,1,2016-10-07 08:47:09,FALSE
"3","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",15,FALSE,1,2016-10-07 08:47:24,FALSE
"4","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",15,TRUE,2,2016-10-07 08:47:36,FALSE
"5","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",16,TRUE,1,2016-10-07 08:47:50,FALSE
"6","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",19,TRUE,1,2016-10-07 08:48:52,FALSE
"7","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",20,TRUE,1,2016-10-07 08:49:11,FALSE
"8","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",23,FALSE,1,2016-10-07 08:50:03,FALSE
"9","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",23,TRUE,2,2016-10-07 08:50:18,FALSE
"10","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",26,TRUE,1,2016-10-07 08:51:18,FALSE
"11","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",28,TRUE,1,2016-10-07 08:51:58,FALSE
"12","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",29,FALSE,1,2016-10-07 08:52:28,FALSE
"13","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",29,FALSE,2,2016-10-07 08:53:40,FALSE
"14","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",29,FALSE,3,2016-10-07 08:54:54,FALSE
"15","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",29,FALSE,4,2016-10-07 08:55:11,FALSE
"16","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",29,FALSE,5,2016-10-07 08:55:21,FALSE
"17","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",29,TRUE,6,2016-10-07 08:57:55,FALSE
"18","emru3000",15,"emili","Windows",2016-10-07 08:58:45,"emru3000","Data Analysis PE","Central Tendency",31,NA,1,2016-10-07 08:58:16,NA
"19","emru3000",15,"emili","Windows",2016-10-07 10:46:41,"emru3000","Data Analysis PE","Dispersion",5,FALSE,1,2016-10-07 10:35:07,FALSE
"20","emru3000",15,"emili","Windows",2016-10-07 10:46:41,"emru3000","Data Analysis PE","Dispersion",5,TRUE,2,2016-10-07 10:35:25,FALSE
"21","emru3000",15,"emili","Windows",2016-10-07 10:46:41,"emru3000","Data Analysis PE","Dispersion",9,TRUE,1,2016-10-07 10:36:10,FALSE
"22","emru3000",15,"emili","Windows",2016-10-07 10:46:41,"emru3000","Data Analysis PE","Dispersion",10,TRUE,1,2016-10-07 10:36:49,FALSE
"23","emru3000",15,"emili","Windows",2016-10-07 10:46:41,"emru3000","Data Analysis PE","Dispersion",12,FALSE,1,2016-10-07 10:37:30,FALSE
"24","emru3000",15,"emili","Windows",2016-10-07 10:46:41,"emru3000","Data Analysis PE","Dispersion",12,TRUE,2,2016-10-07 10:37:37,FALSE
"25","emru3000",15,"emili","Windows",2016-10-07 10:46:41,"emru3000","Data Analysis PE","Dispersion",15,TRUE,1,2016-10-07 10:38:08,FALSE
