"","y","x","color","type"
"1",1.14341024370663,0.988902747863904,1,2
"2",0.745690143383379,0.667721709469333,1,2
"3",0.473837029305166,0.50629497715272,1,1
"4",0.437288694389146,0.17970455554314,1,2
"5",0.77674544337132,0.949699355522171,1,2
"6",0.745431449825787,0.78978707571514,1,1
"7",0.735352642448403,0.726028133416548,1,1
"8",0.301339438741543,0.326609309064224,1,1
"9",0.605574906626236,0.777721731923521,1,2
"10",0.305938914875733,0.443989005172625,1,1
"11",0.224295217630596,0.420763097703457,1,2
"12",0.51393463931714,0.487854024861008,1,2
"13",0.0293049584092988,0.20206309389323,1,1
"14",0.413699687804252,0.469439336331561,1,2
"15",0.458185195004981,0.405414151027799,1,2
"16",0.322126421170503,0.345293430611491,1,1
"17",0.749445302798499,0.882574358023703,1,1
"18",0.391549790929654,0.617484236834571,1,1
"19",-0.0142631683690768,0.000766439130529761,1,2
"20",0.0485613155378113,0.0291369676124305,1,1
"21",0.862283968791201,0.871037074131891,1,2
"22",-0.00715981175196562,0.0258358749561012,1,2
"23",0.753005323239554,0.796409846283495,1,2
"24",0.266641617451326,0.319347922690213,1,1
"25",0.14146587557376,0.293639433570206,1,2
"26",0.853453507439605,0.615555563243106,1,1
"27",0.214646992809001,0.21577242645435,1,2
"28",0.159512993185992,0.216134848073125,1,2
"29",0.000984560425736955,0.0650378498248756,1,1
"30",0.469482563032619,0.638838392449543,1,2
"31",1.00568636726225,0.938189638080075,1,2
"32",0.366044591225004,0.17369914567098,1,1
"33",0.683895954557998,0.713566255988553,1,2
"34",0.528572628605414,0.58750709053129,1,2
"35",0.600340771638099,0.537258308380842,1,2
"36",0.490880453829106,0.4175245820079,1,1
"37",0.783770665357147,0.847426297143102,1,2
"38",0.984301111850747,0.877939960919321,1,2
"39",0.291812887559141,0.302636733977124,1,2
"40",0.403277722004225,0.379550507059321,1,2
"41",0.850377644980594,0.814513754332438,1,1
"42",0.276071068024107,0.306676383828744,1,1
"43",1.06385598472079,0.987174734007567,1,2
"44",0.755971366926468,0.718625478446484,1,2
"45",0.526311526704538,0.417581684654579,1,1
"46",-0.0821847657736383,0.00987210357561707,1,1
"47",0.922734002306096,0.693508147960529,1,1
"48",0.693802328955665,0.648083226755261,1,2
"49",0.5073658625268,0.512119859922677,1,2
"50",0.655560281938933,0.7254621128086,1,1
"51",0.345029374088356,0.492095494410023,1,1
"52",0.136071686305277,0.0534720362629741,1,2
"53",0.25288804412861,0.27474910276942,1,1
"54",0.362958766666986,0.406399199273437,1,1
"55",0.539717126124485,0.581591649679467,1,2
"56",0.0337365613570003,0.221360386582091,1,2
